mocap-1d-trans & mocap-3d-trans & mocap-6dof & mocap-desk & mocap-desk2
0.4825517658519761 & 1.053847513335694 & 1.5848736747487424 & 1.7050548822363356 & 1.0512908276362005
0.5536738710800978 & 0.9879980203397775 & 1.588542943449249 & 1.805280304573171 & 0.9997950732308424
0.4849084062610988 & 1.069132346456922 & 1.6191187922666446 & 1.9607266799319494 & 1.907967685005649
0.4716232001434507 & 1.9764193396695884 & 1.610312532455882 & 1.912234549867899 & 1.0419927288351076
0.4737345950227871 & 1.0412529446382546 & 1.6005717160438673 & 1.8279579841171463 & 1.0146420689352507
Medians
0.4825517658519761 & 1.053847513335694 & 1.6005717160438673 & 1.8279579841171463 & 1.0419927288351076
0.4825517658519761 & 1.053847513335694 & 1.6005717160438673 & 1.8279579841171463 & 1.0419927288351076
0.4825517658519761 & 1.053847513335694 & 1.6005717160438673 & 1.8279579841171463 & 1.0419927288351076
0.4825517658519761 & 1.053847513335694 & 1.6005717160438673 & 1.8279579841171463 & 1.0419927288351076
0.4825517658519761 & 1.053847513335694 & 1.6005717160438673 & 1.8279579841171463 & 1.0419927288351076


